Date recorded,Year,type,Location,Price,Trailer,Has head,
2025-11-03,2001,CC,Florida,68900,Yes,yes,https://www.rightboat.com/boats-for-sale/corsair/28/rb613916
2025-11-03,2002,R,Florida,59900,Yes,no,https://dailyboats.com/boat/311130-buy-corsair-f-28r-426-for-sale
2025-11-03,2000,R,Florida,54000,?,no,https://dailyboats.com/boat/122176-buy-corsair-f-28-for-sale
2025-11-03,2001,R,Florida,59500,?,no,https://dailyboats.com/boat/88177-buy-corsair-f-28-for-sale
2025-11-03,1997,CC,North Carolina,52000,?,?,https://dailyboats.com/boat/126705-buy-corsair-f-28-for-sale
2025-11-03,1999,CC,Texas,56900,?,No,https://dailyboats.com/boat/43308-buy-corsair-f-28-for-sale
2025-11-03,2000,CC,Florida,52000,Yes,yes,https://www.sailboatlistings.com/view/87195
2025-11-03,2001,Aft not R?,Florida,85000,yes,?,https://www.sailboatlistings.com/view/103591
2025-11-03,1997,R,Arizona,50000,yes,yes?,https://www.sailboatlistings.com/view/98940
2025-11-03,2004,R,Alabama,63000,?,?,https://www.sailboatlistings.com/view/69537
2025-11-03,1997,R?,Washington,49900,yes,no,https://www.sailboatlistings.com/view/79545
2025-11-03,2001,CC?,Florida,65000,yes,yes?,https://www.sailboatlistings.com/view/107248
2025-11-03,,,,,,,
